index,name,comp,mu,sigma,lo,hi,prior_form,note,provenance
1,ais_ocean_temperature₀,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
38,ais_mu,antarctic_icesheet,10.803983219053745,1.8146745536450215,7.050094127655029,13.64998722076416,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw","calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
39,ais_bedheight0,antarctic_icesheet,780.0119260199738,22.981432678137423,740.0018920898438,819.9996337890625,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw","calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
40,ais_slope,antarctic_icesheet,0.0006282574195086999,6.241869534698466e-5,0.0004504189419094473,0.0007499916246160865,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw","calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
41,ais_iceflow0,antarctic_icesheet,1.236704511362016,0.3409994913939713,0.6000201106071472,1.7999885082244873,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw","calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
42,ais_precip_u,antarctic_icesheet,-1.9760223084136732,0.7434692410998681,-1.0e9,1.0e9,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw","calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
43,ais_runoff_Ton,antarctic_icesheet,-15.635803044193976,5.538678616391889,-43.273209157795954,-5.221713088869225,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw","calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
44,ais_c,antarctic_icesheet,97.23491521829128,26.614172731873794,47.5013542175293,142.49981689453125,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw","calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
45,sd_ais,noise,0.0,5.0,0.0,Inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the ais residual,"calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
46,rho_ais,noise,NaN,NaN,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the ais residual; 0.99 is a hard bound,"calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
47,sd_gsic,noise,0.0,5.0,0.0,Inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gsic residual,"calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
48,rho_gsic,noise,NaN,NaN,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gsic residual; 0.99 is a hard bound,"calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
49,sd_gis,noise,0.0,5.0,0.0,Inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gis residual,"calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
50,rho_gis,noise,NaN,NaN,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gis residual; 0.99 is a hard bound,"calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
51,sd_steric,noise,0.0,5.0,0.0,Inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the steric residual,"calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
52,rho_steric,noise,NaN,NaN,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the steric residual; 0.99 is a hard bound,"calibrate_mcmc_ext.jl --dump-priors | tag L30 | ARGS: 100 2026 --tag=L30 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=100 --toff-lo=-4 --precip-reparam --cut-fastdyn --fix-gamma --no-ledger --ais-ramp --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-22T11:20:04.571"
